iso2c,country,year,SP.POP.0004.FE.5Y,SP.POP.0004.MA.5Y,SP.POP.0509.FE.5Y,SP.POP.0509.MA.5Y,SP.POP.1014.FE.5Y,SP.POP.1014.MA.5Y,SP.POP.1519.FE.5Y,SP.POP.1519.MA.5Y,SP.POP.2024.FE.5Y,SP.POP.2024.MA.5Y,SP.POP.2529.FE.5Y,SP.POP.2529.MA.5Y,SP.POP.3034.FE.5Y,SP.POP.3034.MA.5Y,SP.POP.3539.FE.5Y,SP.POP.3539.MA.5Y,SP.POP.4044.FE.5Y,SP.POP.4044.MA.5Y,SP.POP.4549.FE.5Y,SP.POP.4549.MA.5Y,SP.POP.5054.FE.5Y,SP.POP.5054.MA.5Y,SP.POP.5559.FE.5Y,SP.POP.5559.MA.5Y,SP.POP.6064.FE.5Y,SP.POP.6064.MA.5Y,SP.POP.6569.FE.5Y,SP.POP.6569.MA.5Y,SP.POP.7074.FE.5Y,SP.POP.7074.MA.5Y,SP.POP.7579.FE.5Y,SP.POP.7579.MA.5Y,SP.POP.80UP.FE.5Y,SP.POP.80UP.MA.5Y
JP,Japan,2001,4.455381425,4.876957778,4.530234206,4.955683017,4.950750524,5.413218732,5.576639854,6.093414491,6.156279849,6.664894672,7.486333124,8.123108516,6.849269395,7.346679196,6.166373102,6.626517056,5.914813807,6.352887313,6.654632479,7.106608135,7.958782865,8.334010739,7.077724783,7.166976433,6.174965362,6.066644751,5.776414902,5.322992491,5.096391411,4.300095575,3.983405357,2.680746467,5.191607556,2.568564637
JP,Japan,2002,4.407328566,4.828502105,4.485349189,4.910796783,4.83458297,5.290607095,5.436542533,5.946800421,6.003303473,6.514080882,7.235361236,7.849550712,7.100088544,7.642684958,6.229504024,6.684045423,5.895652083,6.33772285,6.414290276,6.857974821,7.74572977,8.134878557,7.363071957,7.490544741,6.25197809,6.145435274,5.797909854,5.378329547,5.200440498,4.417847821,4.130407855,2.881325659,5.468459084,2.68887235
JP,Japan,2003,4.335546248,4.753781275,4.460544258,4.888083454,4.727348896,5.177948477,5.295838201,5.797254278,5.892493589,6.412507926,6.901711066,7.481481624,7.347159383,7.940003753,6.306249507,6.756485502,5.922963042,6.372682195,6.207131069,6.641533345,7.447007297,7.846350473,7.647472449,7.820509046,6.355024844,6.247681655,5.818690758,5.438996248,5.297162294,4.520794459,4.281817824,3.09505144,5.755839275,2.808854849
JP,Japan,2004,4.265658555,4.681057846,4.44534707,4.876013752,4.633209714,5.07957882,5.15927959,5.65190908,5.78583524,6.314201976,6.574219347,7.122540367,7.505344666,8.13745568,6.41946177,6.874936676,5.973589242,6.430289624,6.037513311,6.464869465,7.133147934,7.540756927,7.843686553,8.06039167,6.49958261,6.399310325,5.853144029,5.511287469,5.38100014,4.617078617,4.431485328,3.296126778,6.0584949,2.942194929
JP,Japan,2005,4.214817701,4.6294472,4.424197121,4.857475607,4.557794757,5.001745551,5.030318444,5.515760003,5.660210968,6.191313857,6.309551685,6.83891854,7.524332513,8.175116632,6.578649448,7.053552781,6.031872083,6.492632509,5.910509984,6.335545637,6.849311991,7.263818771,7.900634483,8.154029128,6.690372262,6.611639112,5.910575692,5.599376938,5.449792437,4.711418289,4.574617665,3.471321711,6.382440765,3.096887735
JP,Japan,2006,4.151225668,4.563146979,4.396950658,4.831327634,4.50733672,4.950158187,4.913785464,5.391727519,5.532730429,6.061812744,6.109080905,6.629304025,7.428249289,8.077185478,6.795638859,7.30103453,6.116906532,6.576945967,5.844673318,6.268855744,6.586167876,6.997794307,7.831036305,8.104312729,6.922939997,6.865337338,5.980068722,5.67918418,5.489694823,4.776216314,4.680671227,3.594488722,6.712843208,3.331167604
JP,Japan,2007,4.123785181,4.536134531,4.356861776,4.790802216,4.474605524,4.917896854,4.801068299,5.271766828,5.398771874,5.921352285,5.964327059,6.486260964,7.190956973,7.816549116,7.058792044,7.609100862,6.198394853,6.653047643,5.841753885,6.270937242,6.345040434,6.750229807,7.629640231,7.919955363,7.207610638,7.183096051,6.062031816,5.761182271,5.519117138,4.840958855,4.78515727,3.702239279,7.042085007,3.568489831
JP,Japan,2008,4.121314087,4.536421012,4.303960487,4.736056788,4.454681102,4.899661168,4.697003778,5.161454242,5.262418275,5.775550419,5.857542909,6.387976077,6.86798772,7.458017478,7.314835964,7.914773326,6.288776455,6.738734228,5.889488505,6.327101471,6.136765155,6.534069411,7.340081274,7.646101082,7.489572157,7.50497957,6.167627308,5.862817956,5.548032994,4.911254666,4.88503235,3.802897818,7.374879482,3.802133289
JP,Japan,2009,4.12300422,4.541511158,4.246325127,4.676238285,4.435997697,4.883001436,4.608673774,5.068758386,5.130543312,5.634218363,5.753983609,6.292311983,6.550077136,7.107960857,7.482000952,8.120881698,6.41346701,6.868329909,5.963671494,6.409247511,5.97220858,6.364532426,7.033442209,7.354653756,7.686127927,7.741237494,6.314531249,6.013113765,5.591952616,4.994251792,4.97686663,3.903603396,7.717126459,4.026147784
JP,Japan,2010,4.114694499,4.536199241,4.197330078,4.626375691,4.40729587,4.855901141,4.539476249,4.997624713,5.006989723,5.503271604,5.632216622,6.173393736,6.29386013,6.832940835,7.511137872,8.169153257,6.583869669,7.058475797,6.045932073,6.497044772,5.859044549,6.252390774,6.755815328,7.091279234,7.747640245,7.839197599,6.508397413,6.225041058,5.660183128,5.093937195,5.058867476,4.006902066,8.077249077,4.240871289
JP,Japan,2011,4.123269076,4.546799309,4.168200263,4.595511571,4.379833571,4.826769493,4.498930229,4.954055722,4.899706122,5.386568223,5.516233343,6.053320997,6.106279748,6.634457701,7.419050762,8.072988472,6.795409907,7.298546411,6.128115608,6.576172951,5.806014599,6.19831036,6.503388411,6.839024059,7.6861357,7.795827172,6.741045653,6.470846947,5.733384248,5.173942834,5.099634142,4.073842055,8.395368617,4.503015723
JP,Japan,2012,4.117917004,4.542109001,4.149509708,4.576171279,4.341658915,4.786041481,4.479964784,4.934379466,4.797255346,5.275465729,5.394707387,5.923601462,5.975545721,6.504222657,7.194341242,7.823695524,7.05729835,7.604163778,6.205858464,6.646896869,5.81640759,6.213766324,6.274051597,6.606506647,7.499338727,7.629736767,7.028725213,6.782131406,5.822323319,5.257714673,5.137532391,4.144647805,8.707564244,4.748749132
JP,Japan,2013,4.097218678,4.52088111,4.141441472,4.568863336,4.295260813,4.736780402,4.473920412,4.929477814,4.70414024,5.175275515,5.270311827,5.78860744,5.881724577,6.418239037,6.890665301,7.484463614,7.315471215,7.911694208,6.293546295,6.729359786,5.874303294,6.280419682,6.07816141,6.406322404,7.227813796,7.382591865,7.316541417,7.100242276,5.936275881,5.362134192,5.180097816,4.225042797,9.023105556,4.979604524
JP,Japan,2014,4.061472522,4.483643492,4.13887916,4.56821361,4.25009226,4.689578401,4.466426767,4.923827345,4.627061639,5.093430566,5.148832366,5.656946106,5.789484221,6.333574097,6.594654556,7.157171644,7.488307059,8.123974185,6.417496421,6.858653754,5.953241239,6.367948468,5.925912543,6.253242703,6.939048934,7.120065651,7.521860211,7.338354324,6.091857809,5.515620199,5.240673207,4.320386383,9.344699084,5.195369072
